"GeneID","Essential","Class","Complex","Phenotype","Motif","Chromosome","Function"
"G234100","Essential","Transcription factors","Transcription complexes/Transcriptosome","Stress response defects","?",2,"TRANSCRIPTION"
"G234101","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00017",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234101","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00017",2,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234101","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00017",2,"ENERGY"
"G234101","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00017",2,"IONIC HOMEOSTASIS"
"G234101","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00017",2,"TRANSPORT FACILITATION"
"G234101","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00152",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234101","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00152",2,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234101","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00152",2,"ENERGY"
"G234101","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00152",2,"IONIC HOMEOSTASIS"
"G234101","Non-Essential","ATPases","Respiration chain complexes","Auxotrophies, carbon and","PS00152",2,"TRANSPORT FACILITATION"
"G234102","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","?","PS00038",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234102","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","?","PS00038",2,"METABOLISM"
"G234102","Non-Essential","Transcription factors","Transcription complexes/Transcriptosome","?","PS00038",2,"TRANSCRIPTION"
"G234103","Essential","Protein Kinases","?","Cell cycle defects","PS00107",2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234103","Essential","Protein Kinases","?","Cell cycle defects","PS00107",2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING"
"G234103","Essential","Protein Kinases","?","Cell cycle defects","PS00107",2,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION"
"G234103","Essential","Protein Kinases","?","Cell cycle defects","PS00107",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234103","Essential","Protein Kinases","?","Cell cycle defects","PS00479",2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234103","Essential","Protein Kinases","?","Cell cycle defects","PS00479",2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING"
"G234103","Essential","Protein Kinases","?","Cell cycle defects","PS00479",2,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION"
"G234103","Essential","Protein Kinases","?","Cell cycle defects","PS00479",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234103","Essential","Protein Kinases","?","Cell morphology and organelle mutants","PS00107",2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234103","Essential","Protein Kinases","?","Cell morphology and organelle mutants","PS00107",2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING"
"G234103","Essential","Protein Kinases","?","Cell morphology and organelle mutants","PS00107",2,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION"
"G234103","Essential","Protein Kinases","?","Cell morphology and organelle mutants","PS00107",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234103","Essential","Protein Kinases","?","Cell morphology and organelle mutants","PS00479",2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234103","Essential","Protein Kinases","?","Cell morphology and organelle mutants","PS00479",2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING"
"G234103","Essential","Protein Kinases","?","Cell morphology and organelle mutants","PS00479",2,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION"
"G234103","Essential","Protein Kinases","?","Cell morphology and organelle mutants","PS00479",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234103","Essential","Protein Kinases","?","Nucleic acid metabolism defects","PS00107",2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234103","Essential","Protein Kinases","?","Nucleic acid metabolism defects","PS00107",2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING"
"G234103","Essential","Protein Kinases","?","Nucleic acid metabolism defects","PS00107",2,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION"
"G234103","Essential","Protein Kinases","?","Nucleic acid metabolism defects","PS00107",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234103","Essential","Protein Kinases","?","Nucleic acid metabolism defects","PS00479",2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234103","Essential","Protein Kinases","?","Nucleic acid metabolism defects","PS00479",2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING"
"G234103","Essential","Protein Kinases","?","Nucleic acid metabolism defects","PS00479",2,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION"
"G234103","Essential","Protein Kinases","?","Nucleic acid metabolism defects","PS00479",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234103","Essential","Protein Kinases","?","Sensitivity to aminoacid analogs and other drugs","PS00107",2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234103","Essential","Protein Kinases","?","Sensitivity to aminoacid analogs and other drugs","PS00107",2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING"
"G234103","Essential","Protein Kinases","?","Sensitivity to aminoacid analogs and other drugs","PS00107",2,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION"
"G234103","Essential","Protein Kinases","?","Sensitivity to aminoacid analogs and other drugs","PS00107",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234103","Essential","Protein Kinases","?","Sensitivity to aminoacid analogs and other drugs","PS00479",2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234103","Essential","Protein Kinases","?","Sensitivity to aminoacid analogs and other drugs","PS00479",2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING"
"G234103","Essential","Protein Kinases","?","Sensitivity to aminoacid analogs and other drugs","PS00479",2,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION"
"G234103","Essential","Protein Kinases","?","Sensitivity to aminoacid analogs and other drugs","PS00479",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234106","?","Histones","Nucleosomal protein complex","Auxotrophies, carbon and","?",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234106","?","Histones","Nucleosomal protein complex","Auxotrophies, carbon and","?",2,"TRANSCRIPTION"
"G234106","?","Histones","Nucleosomal protein complex","Cell cycle defects","?",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234106","?","Histones","Nucleosomal protein complex","Cell cycle defects","?",2,"TRANSCRIPTION"
"G234106","?","Histones","Nucleosomal protein complex","Cell morphology and organelle mutants","?",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234106","?","Histones","Nucleosomal protein complex","Cell morphology and organelle mutants","?",2,"TRANSCRIPTION"
"G234106","?","Histones","Nucleosomal protein complex","Conditional phenotypes","?",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234106","?","Histones","Nucleosomal protein complex","Conditional phenotypes","?",2,"TRANSCRIPTION"
"G234106","?","Histones","Nucleosomal protein complex","Nucleic acid metabolism defects","?",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234106","?","Histones","Nucleosomal protein complex","Nucleic acid metabolism defects","?",2,"TRANSCRIPTION"
"G234107","Non-Essential","Histones","Nucleosomal protein complex","Auxotrophies, carbon and","PS00322",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234107","Non-Essential","Histones","Nucleosomal protein complex","Auxotrophies, carbon and","PS00322",2,"TRANSCRIPTION"
"G234107","Non-Essential","Histones","Nucleosomal protein complex","Auxotrophies, carbon and","PS00959",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234107","Non-Essential","Histones","Nucleosomal protein complex","Auxotrophies, carbon and","PS00959",2,"TRANSCRIPTION"
"G234107","Non-Essential","Histones","Nucleosomal protein complex","Cell morphology and organelle mutants","PS00322",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234107","Non-Essential","Histones","Nucleosomal protein complex","Cell morphology and organelle mutants","PS00322",2,"TRANSCRIPTION"
"G234107","Non-Essential","Histones","Nucleosomal protein complex","Cell morphology and organelle mutants","PS00959",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234107","Non-Essential","Histones","Nucleosomal protein complex","Cell morphology and organelle mutants","PS00959",2,"TRANSCRIPTION"
"G234107","Non-Essential","Histones","Nucleosomal protein complex","Nucleic acid metabolism defects","PS00322",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234107","Non-Essential","Histones","Nucleosomal protein complex","Nucleic acid metabolism defects","PS00322",2,"TRANSCRIPTION"
"G234107","Non-Essential","Histones","Nucleosomal protein complex","Nucleic acid metabolism defects","PS00959",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234107","Non-Essential","Histones","Nucleosomal protein complex","Nucleic acid metabolism defects","PS00959",2,"TRANSCRIPTION"
"G234108","Non-Essential","Other kinases","?","?","PS00627",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234108","Non-Essential","Other kinases","?","?","PS00627",2,"METABOLISM"
"G234108","Non-Essential","Other kinases","?","?","PS00627",2,"TRANSCRIPTION"
"G234109","Non-Essential","Major facilitator superfamily proteins (MFS)","?","Nucleic acid metabolism defects","?",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234109","Non-Essential","Major facilitator superfamily proteins (MFS)","?","Nucleic acid metabolism defects","?",2,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234109","Non-Essential","Major facilitator superfamily proteins (MFS)","?","Nucleic acid metabolism defects","?",2,"METABOLISM"
"G234109","Non-Essential","Major facilitator superfamily proteins (MFS)","?","Nucleic acid metabolism defects","?",2,"TRANSPORT FACILITATION"
"G234122","Essential","ATPases","Intracellular transport complexes","Cell morphology and organelle mutants","PS00017",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234122","Essential","ATPases","Intracellular transport complexes","Cell morphology and organelle mutants","PS00017",2,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234122","Essential","ATPases","Intracellular transport complexes","Cell morphology and organelle mutants","PS00225",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234122","Essential","ATPases","Intracellular transport complexes","Cell morphology and organelle mutants","PS00225",2,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234122","Essential","ATPases","Intracellular transport complexes","Cell morphology and organelle mutants","PS00674",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234122","Essential","ATPases","Intracellular transport complexes","Cell morphology and organelle mutants","PS00674",2,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234123","Non-Essential","Ubiquitin-system proteins","?","Conditional phenotypes","?",2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234123","Non-Essential","Ubiquitin-system proteins","?","Conditional phenotypes","?",2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING"
"G234123","Non-Essential","Ubiquitin-system proteins","?","Conditional phenotypes","?",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234123","Non-Essential","Ubiquitin-system proteins","?","Conditional phenotypes","?",2,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234123","Non-Essential","Ubiquitin-system proteins","?","Conditional phenotypes","?",2,"PROTEIN DESTINATION"
"G234123","Non-Essential","Ubiquitin-system proteins","?","Sensitivity to aminoacid analogs and other drugs","?",2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234123","Non-Essential","Ubiquitin-system proteins","?","Sensitivity to aminoacid analogs and other drugs","?",2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING"
"G234123","Non-Essential","Ubiquitin-system proteins","?","Sensitivity to aminoacid analogs and other drugs","?",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234123","Non-Essential","Ubiquitin-system proteins","?","Sensitivity to aminoacid analogs and other drugs","?",2,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234123","Non-Essential","Ubiquitin-system proteins","?","Sensitivity to aminoacid analogs and other drugs","?",2,"PROTEIN DESTINATION"
"G234123","Non-Essential","Ubiquitin-system proteins","?","Stress response defects","?",2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234123","Non-Essential","Ubiquitin-system proteins","?","Stress response defects","?",2,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING"
"G234123","Non-Essential","Ubiquitin-system proteins","?","Stress response defects","?",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234123","Non-Essential","Ubiquitin-system proteins","?","Stress response defects","?",2,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234123","Non-Essential","Ubiquitin-system proteins","?","Stress response defects","?",2,"PROTEIN DESTINATION"
"G234124","Non-Essential","Transcription factors","?","Cell morphology and organelle mutants","PS00554",2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234124","Non-Essential","Transcription factors","?","Cell morphology and organelle mutants","PS00554",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234124","Non-Essential","Transcription factors","?","Cell morphology and organelle mutants","PS00554",2,"TRANSCRIPTION"
"G234124","Non-Essential","Transcription factors","?","Nucleic acid metabolism defects","PS00554",2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234124","Non-Essential","Transcription factors","?","Nucleic acid metabolism defects","PS00554",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234124","Non-Essential","Transcription factors","?","Nucleic acid metabolism defects","PS00554",2,"TRANSCRIPTION"
"G234126","Non-Essential","GTP-binding proteins","Translation complexes","?","PS00017",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234126","Non-Essential","GTP-binding proteins","Translation complexes","?","PS00017",2,"PROTEIN SYNTHESIS"
"G234128","Non-Essential","ATPases","H+-transporting ATPase, vacuolar","Auxotrophies, carbon and","PS00152",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234128","Non-Essential","ATPases","H+-transporting ATPase, vacuolar","Auxotrophies, carbon and","PS00152",2,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234128","Non-Essential","ATPases","H+-transporting ATPase, vacuolar","Auxotrophies, carbon and","PS00152",2,"IONIC HOMEOSTASIS"
"G234128","Non-Essential","ATPases","H+-transporting ATPase, vacuolar","Auxotrophies, carbon and","PS00152",2,"TRANSPORT FACILITATION"
"G234128","Non-Essential","ATPases","H+-transporting ATPase, vacuolar","Conditional phenotypes","PS00152",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234128","Non-Essential","ATPases","H+-transporting ATPase, vacuolar","Conditional phenotypes","PS00152",2,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234128","Non-Essential","ATPases","H+-transporting ATPase, vacuolar","Conditional phenotypes","PS00152",2,"IONIC HOMEOSTASIS"
"G234128","Non-Essential","ATPases","H+-transporting ATPase, vacuolar","Conditional phenotypes","PS00152",2,"TRANSPORT FACILITATION"
"G234128","Non-Essential","ATPases","H+-transporting ATPase, vacuolar","Stress response defects","PS00152",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234128","Non-Essential","ATPases","H+-transporting ATPase, vacuolar","Stress response defects","PS00152",2,"CELLULAR TRANSPORT AND TRANSPORTMECHANISMS"
"G234128","Non-Essential","ATPases","H+-transporting ATPase, vacuolar","Stress response defects","PS00152",2,"IONIC HOMEOSTASIS"
"G234128","Non-Essential","ATPases","H+-transporting ATPase, vacuolar","Stress response defects","PS00152",2,"TRANSPORT FACILITATION"
"G234131","Non-Essential","GTPase activating proteins (GAPs)","?","?","PS00509",2,"CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION"
"G234131","Non-Essential","GTPase activating proteins (GAPs)","?","?","PS00509",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234139","Non-Essential","Transcription factors","?","?","PS00350",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234139","Non-Essential","Transcription factors","?","?","PS00350",2,"TRANSCRIPTION"
"G234141","Essential","Transcription factors","Transcription complexes/Transcriptosome","?","?",2,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234141","Essential","Transcription factors","Transcription complexes/Transcriptosome","?","?",2,"TRANSCRIPTION"
"G234167","Non-Essential","GTP-binding proteins","Cytoskeleton","Cell morphology and organelle mutants","PS00017",3,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234167","Non-Essential","GTP-binding proteins","Cytoskeleton","Cell morphology and organelle mutants","PS00017",3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234167","Non-Essential","GTP-binding proteins","Cytoskeleton","Cell morphology and organelle mutants","PS00017",3,"METABOLISM"
"G234167","Non-Essential","GTP-binding proteins","Cytoskeleton","Conditional phenotypes","PS00017",3,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234167","Non-Essential","GTP-binding proteins","Cytoskeleton","Conditional phenotypes","PS00017",3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234167","Non-Essential","GTP-binding proteins","Cytoskeleton","Conditional phenotypes","PS00017",3,"METABOLISM"
"G234169","Non-Essential","ATPases","?","?","PS00013",3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234169","Non-Essential","ATPases","?","?","PS00013",3,"TRANSPORT FACILITATION"
"G234169","Non-Essential","ATPases","?","?","PS00017",3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234169","Non-Essential","ATPases","?","?","PS00017",3,"TRANSPORT FACILITATION"
"G234169","Non-Essential","ATPases","?","?","PS00022",3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234169","Non-Essential","ATPases","?","?","PS00022",3,"TRANSPORT FACILITATION"
"G234169","Non-Essential","ATPases","?","?","PS00211",3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234169","Non-Essential","ATPases","?","?","PS00211",3,"TRANSPORT FACILITATION"
"G234169","Non-Essential","ATPases","?","?","PS01186",3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234169","Non-Essential","ATPases","?","?","PS01186",3,"TRANSPORT FACILITATION"
"G234169","Non-Essential","ATPases","?","?","PS01248",3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234169","Non-Essential","ATPases","?","?","PS01248",3,"TRANSPORT FACILITATION"
"G234170","Non-Essential","Transcription factors","RNA processing complexes","?","?",3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234170","Non-Essential","Transcription factors","RNA processing complexes","?","?",3,"TRANSCRIPTION"
"G234177","Non-Essential","GTP/GDP-exchange factors (GEFs)","?","Cell morphology and organelle mutants","PS00720",3,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234177","Non-Essential","GTP/GDP-exchange factors (GEFs)","?","Cell morphology and organelle mutants","PS00720",3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234178","?","Transcription factors","?","?","?",3,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS"
"G234178","?","Transcription factors","?","?","?",3,"CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle)"
"G234178","?","Transcription factors","?","?","?",3,"TRANSCRIPTION"
