"session_id","sequence_order","category_a","category_b","category_c","category_d"
"u10041",1,"A00002","B00002","C00002","D19994"
"u10041",2,"A00002","B00001","C00010","D18416"
"u10042",1,"A00001","B00001","C00020","D28439"
"u10042",2,"A00001","B00001","C00020","D28441"
"u10043",1,"A00001","B00001","C00020","D15866"
"u10044",1,"A00002","B00003","C00006","D28594"
"u10045",1,"A00002","B00003","C00006","D11650"
"u10045",2,"A00002","B00003","C00006","D29916"
"u10046",1,"A00002","B00005","C00013","D00028"
"u10047",1,"A00002","B00005","C00013","D00031"
"u10047",2,"A00002","B00005","C00013","D00032"
"u10047",3,"A00002","B00007","C00016","D00034"
"u10047",4,"A00002","B00007","C00016","D00036"
"u10047",5,"A00002","B00007","C00016","D00037"
"u10048",1,"A00002","B00007","C00017","D00040"
"u10048",2,"A00002","B00007","C00016","D00041"
"u10048",3,"A00002","B00007","C00021","D00046"
"u10048",4,"A00002","B00007","C00016","D00049"
"u10048",5,"A00002","B00007","C00021","D00050"
"u10048",6,"A00002","B00007","C00021","D00052"
"u10048",7,"A00002","B00007","C00023","D00053"
"u10049",1,"A00002","B00007","C00017","D00054"
"u10049",2,"A00002","B00007","C00016","D00055"
"u10049",3,"A00002","B00007","C00021","D00056"
"u10050",1,"A00002","B00007","C00023","D00058"
"u10051",1,"A00002","B00007","C00021","D00061"
"u10051",2,"A00002","B00007","C00016","D00062"
"u10052",1,"A00002","B00007","C00021","D00068"
"u10053",1,"A00002","B00007","C00021","D00069"
"u10054",1,"A00002","B00007","C00021","D00073"
"u10055",1,"A00002","B00007","C00016","D00041"
"u10055",2,"A00002","B00007","C00021","D00077"
"u10055",3,"A00002","B00007","C00021","D00078"
"u10056",1,"A00002","B00007","C00012","D00079"
"u10057",1,"A00002","B00002","C00004","D00695"
"u10058",1,"A00002","B00007","C00016","D00591"
"u10059",1,"A00002","B00007","C00016","D01179"
"u10060",1,"A00002","B00007","C00021","D00249"
"u10061",1,"A00002","B00002","C00022","D01511"
"u10062",1,"A00002","B00007","C00016","D01521"
"u10063",1,"A00002","B00007","C00021","D01678"
"u10064",1,"A00002","B00007","C00021","D00084"
"u10065",1,"A00002","B00007","C00021","D03428"
"u10066",1,"A00002","B00007","C00021","D00078"
"u10066",2,"A00002","B00007","C00021","D03436"
"u10066",3,"A00002","B00007","C00021","D03438"
"u10066",4,"A00002","B00007","C00021","D03440"
"u10066",5,"A00002","B00007","C00021","D03444"
"u10066",6,"A00002","B00007","C00021","D03446"
"u10066",7,"A00002","B00007","C00021","D00084"
"u10067",1,"A00002","B00007","C00021","D00052"
"u10068",1,"A00002","B00002","C00009","D06885"
"u10068",2,"A00002","B00002","C00007","D07594"
"u10068",3,"A00002","B00002","C00002","D07595"
"u10069",1,"A00002","B00002","C00002","D07597"
"u10069",2,"A00002","B00002","C00002","D06050"
"u10070",1,"A00002","B00002","C00002","D07601"
"u10071",1,"A00002","B00002","C00007","D16127"
"u10072",1,"A00002","B00002","C00002","D17437"
"u10072",2,"A00002","B00002","C00002","D06050"
"u10072",3,"A00002","B00002","C00112","D17439"
"u10073",1,"A00002","B00011","C00212","D26996"
"u10073",2,"A00002","B00001","C00123","D26889"
"u10073",3,"A00002","B00011","C00212","D26998"
"u10074",1,"A00002","B00002","C00002","D32075"
"u10075",1,"A00002","B00002","C00009","D34718"
"u10075",2,"A00002","B00002","C00009","D07680"
"u10076",1,"A00002","B00007","C00021","D00249"
"u10077",1,"A00002","B00007","C00017","D34756"
"u10078",1,"A00002","B00007","C00017","D00054"
"u10079",1,"A00002","B00002","C00002","D34839"
"u10079",2,"A00002","B00002","C00002","D34840"
"u10079",3,"A00002","B00002","C00007","D34841"
"u10080",1,"A00002","B00002","C00009","D34842"
"u10081",1,"A00002","B00002","C00007","D34844"
"u10081",2,"A00002","B00002","C00009","D34845"
"u10082",1,"A00002","B00002","C00002","D34852"
"u10082",2,"A00002","B00002","C00002","D22484"
"u10083",1,"A00002","B00002","C00009","D34855"
"u10083",2,"A00002","B00002","C00009","D34856"
"u10083",3,"A00002","B00002","C00007","D30431"
"u10084",1,"A00002","B00002","C00007","D34862"
"u10084",2,"A00002","B00002","C00009","D34864"
"u10085",1,"A00002","B00002","C00002","D34866"
"u10085",2,"A00002","B00002","C00002","D34868"
"u10085",3,"A00002","B00002","C00009","D34869"
"u10085",4,"A00002","B00002","C00009","D34871"
"u10086",1,"A00002","B00002","C00007","D34875"
"u10086",2,"A00002","B00002","C00007","D34876"
"u10086",3,"A00002","B00002","C00002","D34879"
"u10086",4,"A00002","B00002","C00002","D34880"
"u10086",5,"A00002","B00002","C00002","D29388"
"u10087",1,"A00002","B00002","C00002","D34881"
"u10088",1,"A00002","B00002","C00002","D26020"
"u10088",2,"A00002","B00002","C00007","D17043"
"u10088",3,"A00002","B00002","C00002","D34886"
"u10088",4,"A00002","B00002","C00002","D34887"
"u10088",5,"A00002","B00002","C00009","D09976"
"u10088",6,"A00002","B00002","C00002","D34888"
"u10088",7,"A00002","B00002","C00002","D34889"
"u10088",8,"A00002","B00002","C00002","D34891"
"u10089",1,"A00002","B00002","C00007","D34894"
"u10089",2,"A00002","B00002","C00002","D34896"
"u10090",1,"A00002","B00007","C00021","D22783"
"u10090",2,"A00002","B00007","C00021","D36095"
"u10091",1,"A00002","B00003","C00006","D00006"
"u10092",1,"A00002","B00003","C00006","D00022"
"u10093",1,"A00005","B00051","C00385","D21416"
"u10093",2,"A00002","B00003","C00074","D21397"
"u10094",1,"A00005","B00051","C00385","D21416"
"u10094",2,"A00002","B00003","C00074","D21397"
"u10095",1,"A00002","B00003","C00074","D21509"
"u10096",1,"A00002","B00003","C00074","D21517"
"u10096",2,"A00002","B00003","C00074","D21521"
"u10097",1,"A00002","B00001","C00075","D21648"
"u10097",2,"A00002","B00001","C00075","D12026"
"u10098",1,"A00003","B00004","C00008","D00008"
"u10099",1,"A00003","B00004","C00008","D00027"
"u10100",1,"A00003","B00004","C00008","D00027"
"u10101",1,"A00003","B00004","C00008","D00008"
"u10101",2,"A00003","B00004","C00008","D00027"
"u10102",1,"A00003","B00004","C00008","D00008"
"u10102",2,"A00003","B00004","C00008","D00027"
"u10103",1,"A00003","B00004","C00008","D00008"
"u10103",2,"A00003","B00004","C00008","D00027"
"u10104",1,"A00003","B00004","C00008","D00008"
"u10104",2,"A00003","B00004","C00008","D00027"
"u10105",1,"A00003","B00004","C00008","D00027"
"u10105",2,"A00003","B00004","C00008","D00008"
"u10106",1,"A00003","B00004","C00008","D00027"
"u10106",2,"A00003","B00004","C00008","D00008"
"u10107",1,"A00003","B00004","C00008","D00027"
"u10107",2,"A00003","B00004","C00008","D00008"
"u10108",1,"A00003","B00004","C00008","D00027"
"u10108",2,"A00003","B00004","C00008","D00008"
"u10109",1,"A00003","B00004","C00008","D00027"
"u10109",2,"A00003","B00004","C00008","D00008"
"u10110",1,"A00003","B00004","C00008","D00008"
"u10110",2,"A00003","B00004","C00008","D00027"
"u10111",1,"A00003","B00004","C00008","D00008"
"u10111",2,"A00003","B00004","C00008","D00027"
"u10112",1,"A00003","B00004","C00008","D00008"
"u10112",2,"A00003","B00004","C00008","D00027"
"u10113",1,"A00003","B00004","C00008","D00008"
"u10113",2,"A00003","B00004","C00008","D00027"
"u10114",1,"A00002","B00003","C00014","D03324"
"u10115",1,"A00002","B00003","C00005","D01338"
"u10115",2,"A00002","B00003","C00014","D03324"
"u10116",1,"A00002","B00003","C00005","D01338"
"u10116",2,"A00002","B00003","C00014","D03324"
"u10117",1,"A00002","B00003","C00005","D01338"
"u10117",2,"A00002","B00003","C00014","D03324"
"u10118",1,"A00002","B00003","C00005","D01338"
"u10119",1,"A00002","B00003","C00005","D01338"
"u10120",1,"A00002","B00003","C00014","D03324"
"u10121",1,"A00002","B00003","C00005","D01338"
"u10122",1,"A00002","B00003","C00014","D03324"
"u10123",1,"A00002","B00003","C00005","D01338"
"u10124",1,"A00002","B00003","C00005","D01338"
"u10125",1,"A00002","B00003","C00005","D01338"
"u10126",1,"A00002","B00002","C00002","D10755"
"u10127",1,"A00002","B00002","C00002","D15452"
"u10128",1,"A00002","B00002","C00002","D15452"
"u10129",1,"A00002","B00002","C00002","D07696"
"u10130",1,"A00002","B00002","C00002","D21056"
"u10131",1,"A00002","B00002","C00003","D14956"
"u10131",2,"A00002","B00001","C00010","D21073"
"u10132",1,"A00002","B00002","C00003","D14956"
"u10133",1,"A00002","B00001","C00010","D21073"
"u10134",1,"A00002","B00002","C00002","D06058"
"u10135",1,"A00002","B00002","C00003","D06535"
"u10136",1,"A00002","B00002","C00003","D03128"
"u10137",1,"A00002","B00002","C00003","D23580"
"u10138",1,"A00002","B00002","C00009","D00540"
"u10138",2,"A00002","B00002","C00002","D23923"
"u10139",1,"A00002","B00002","C00009","D00540"
"u10139",2,"A00002","B00002","C00002","D22524"
"u10139",3,"A00002","B00002","C00002","D24015"
"u10140",1,"A00002","B00002","C00002","D22524"
"u10141",1,"A00002","B00002","C00003","D14956"
"u10142",1,"A00002","B00002","C00002","D13000"
"u10143",1,"A00002","B00002","C00002","D31234"
"u10144",1,"A00002","B00002","C00003","D32374"
"u10145",1,"A00002","B00002","C00007","D00024"
"u10145",2,"A00002","B00002","C00007","D00026"
"u10146",1,"A00002","B00003","C00006","D05423"
"u10147",1,"A00005","B00044","C00184","D10205"
"u10147",2,"A00005","B00044","C00184","D10208"
"u10148",1,"A00005","B00044","C00184","D10212"
"u10149",1,"A00002","B00003","C00046","D02561"
"u10150",1,"A00002","B00003","C00006","D06023"
"u10150",2,"A00002","B00003","C00006","D15152"
"u10151",1,"A00002","B00003","C00006","D02909"
"u10151",2,"A00002","B00002","C00007","D10813"
"u10152",1,"A00002","B00003","C00006","D13680"
"u10153",1,"A00002","B00004","C00018","D00043"
"u10153",2,"A00002","B00004","C00018","D00047"
"u10154",1,"A00005","B00051","C00158","D01509"
"u10155",1,"A00005","B00051","C00158","D01515"
"u10156",1,"A00002","B00001","C00010","D03550"
"u10157",1,"A00002","B00001","C00010","D03553"
"u10158",1,"A00002","B00001","C00075","D03559"
"u10159",1,"A00002","B00002","C00007","D03562"
"u10159",2,"A00002","B00002","C00007","D03566"
"u10160",1,"A00005","B00051","C00158","D01515"
"u10160",2,"A00005","B00051","C00158","D04802"
"u10161",1,"A00002","B00001","C00075","D03898"
"u10162",1,"A00002","B00004","C00066","D07222"
"u10163",1,"A00002","B00001","C00010","D01080"
"u10164",1,"A00002","B00001","C00010","D03184"
"u10165",1,"A00002","B00001","C00010","D25205"
"u10166",1,"A00002","B00001","C00010","D01061"
"u10167",1,"A00002","B00001","C00010","D24417"
"u10168",1,"A00002","B00001","C00010","D22853"
"u10169",1,"A00010","B00054","C00163","D25574"
"u10170",1,"A00002","B00004","C00066","D26226"
"u10171",1,"A00001","B00001","C00075","D33237"
"u10171",2,"A00001","B00001","C00075","D34328"
"u10172",1,"A00001","B00001","C00075","D33237"
"u10172",2,"A00001","B00001","C00075","D03618"
"u10173",1,"A00001","B00001","C00075","D34375"
"u10173",2,"A00001","B00001","C00075","D34328"
"u10174",1,"A00001","B00001","C00019","D00044"
"u10175",1,"A00001","B00001","C00019","D05339"
"u10176",1,"A00001","B00001","C00001","D05849"
"u10177",1,"A00001","B00015","C00098","D08023"
"u10178",1,"A00008","B00029","C00088","D08266"
"u10179",1,"A00001","B00001","C00020","D11959"
"u10180",1,"A00001","B00001","C00020","D07360"
"u10181",1,"A00002","B00003","C00079","D30057"
"u10182",1,"A00002","B00003","C00079","D30051"
"u10182",2,"A00002","B00003","C00079","D30057"
"u10183",1,"A00002","B00003","C00079","D30051"
"u10183",2,"A00002","B00003","C00079","D30057"
"u10184",1,"A00001","B00001","C00020","D00045"
"u10185",1,"A00002","B00002","C00007","D00048"
"u10186",1,"A00002","B00002","C00002","D00735"
"u10187",1,"A00001","B00001","C00019","D02192"
"u10188",1,"A00002","B00002","C00011","D05652"
"u10189",1,"A00002","B00001","C00100","D15175"
"u10190",1,"A00002","B00002","C00002","D11256"
"u10191",1,"A00002","B00002","C00007","D00390"
"u10191",2,"A00002","B00002","C00002","D16086"
"u10192",1,"A00002","B00002","C00002","D16090"
"u10193",1,"A00002","B00002","C00002","D16179"
"u10193",2,"A00002","B00002","C00002","D16180"
"u10194",1,"A00002","B00001","C00123","D16568"
"u10195",1,"A00002","B00002","C00002","D16596"
"u10196",1,"A00002","B00001","C00049","D01267"
"u10197",1,"A00002","B00002","C00002","D18149"
"u10198",1,"A00002","B00004","C00018","D18161"
"u10199",1,"A00002","B00001","C00059","D19204"
"u10200",1,"A00002","B00001","C00053","D23033"
"u10201",1,"A00002","B00002","C00004","D25538"
"u10202",1,"A00002","B00002","C00112","D31150"
"u10203",1,"A00003","B00036","C00175","D32245"
"u10204",1,"A00003","B00036","C00190","D33072"
"u10204",2,"A00003","B00036","C00175","D33078"
"u10205",1,"A00003","B00036","C00048","D33089"
"u10206",1,"A00002","B00001","C00059","D34692"
"u10207",1,"A00003","B00012","C00028","D36117"
"u10208",1,"A00002","B00002","C00022","D00051"
"u10209",1,"A00002","B00003","C00014","D09231"
"u10210",1,"A00002","B00003","C00014","D09232"
"u10210",2,"A00002","B00003","C00014","D09233"
"u10211",1,"A00002","B00003","C00014","D11017"
"u10211",2,"A00010","B00055","C00135","D11018"
"u10212",1,"A00002","B00016","C00131","D11027"
"u10213",1,"A00002","B00002","C00022","D11042"
"u10214",1,"A00002","B00007","C00023","D11754"
"u10215",1,"A00002","B00002","C00007","D00057"
"u10216",1,"A00003","B00008","C00026","D00070"
"u10216",2,"A00003","B00008","C00026","D00074"
"u10217",1,"A00001","B00001","C00020","D00072"
"u10218",1,"A00001","B00001","C00019","D03556"
"u10219",1,"A00001","B00001","C00019","D03558"
"u10219",2,"A00001","B00001","C00019","D03556"
"u10219",3,"A00001","B00031","C00044","D03560"
"u10220",1,"A00004","B00014","C00083","D03570"
"u10220",2,"A00004","B00014","C00083","D03571"
"u10220",3,"A00004","B00014","C00206","D03573"
"u10220",4,"A00004","B00014","C00083","D03575"
"u10221",1,"A00004","B00014","C00213","D03576"
"u10222",1,"A00007","B00063","C00216","D03661"
"u10223",1,"A00007","B00063","C00217","D03664"
"u10224",1,"A00006","B00053","C00199","D03669"
"u10225",1,"A00001","B00009","C00038","D04675"
"u10226",1,"A00001","B00009","C00038","D02708"
"u10227",1,"A00001","B00009","C00038","D04796"
"u10228",1,"A00001","B00001","C00019","D05068"
"u10229",1,"A00001","B00001","C00019","D05490"
"u10230",1,"A00006","B00033","C00119","D06358"
"u10230",2,"A00006","B00033","C00119","D06359"
"u10231",1,"A00001","B00001","C00012","D07583"
"u10231",2,"A00001","B00001","C00019","D07584"
"u10232",1,"A00001","B00009","C00038","D18162"
"u10232",2,"A00001","B00009","C00038","D18163"
"u10232",3,"A00001","B00009","C00038","D18164"
"u10232",4,"A00001","B00009","C00038","D18165"
"u10232",5,"A00001","B00009","C00038","D18166"
"u10232",6,"A00001","B00009","C00038","D18167"
"u10232",7,"A00001","B00009","C00038","D18168"
"u10232",8,"A00001","B00009","C00038","D18169"
"u10232",9,"A00001","B00009","C00038","D18170"
"u10232",10,"A00001","B00009","C00038","D18171"
"u10232",11,"A00001","B00009","C00038","D18172"
"u10233",1,"A00001","B00009","C00028","D18173"
"u10233",2,"A00001","B00009","C00028","D18174"
"u10233",3,"A00001","B00009","C00028","D04812"
"u10233",4,"A00001","B00009","C00028","D18175"
"u10233",5,"A00001","B00009","C00028","D04810"
"u10233",6,"A00001","B00009","C00028","D18176"
"u10233",7,"A00001","B00009","C00028","D18177"
"u10233",8,"A00001","B00009","C00028","D18178"
"u10233",9,"A00001","B00009","C00028","D06153"
"u10234",1,"A00001","B00004","C00132","D18179"
"u10234",2,"A00001","B00004","C00132","D18180"
"u10235",1,"A00001","B00031","C00012","D35077"
"u10236",1,"A00001","B00001","C00001","D00080"
"u10236",2,"A00001","B00001","C00001","D00081"
"u10237",1,"A00001","B00001","C00001","D00081"
"u10238",1,"A00001","B00001","C00001","D00087"
"u10238",2,"A00001","B00001","C00001","D00081"
"u10239",1,"A00001","B00001","C00075","D03624"
"u10239",2,"A00001","B00001","C00075","D03625"
"u10239",3,"A00001","B00001","C00075","D03612"
"u10239",4,"A00001","B00001","C00075","D03615"
"u10240",1,"A00001","B00001","C00075","D03609"
"u10240",2,"A00001","B00001","C00075","D03610"
"u10240",3,"A00001","B00001","C00075","D03626"
"u10240",4,"A00001","B00001","C00075","D03616"
"u10240",5,"A00001","B00001","C00075","D03627"
"u10240",6,"A00001","B00001","C00075","D03620"
"u10240",7,"A00001","B00001","C00075","D03613"
"u10240",8,"A00001","B00001","C00075","D03628"
"u10240",9,"A00001","B00001","C00075","D03614"
"u10240",10,"A00001","B00001","C00075","D03625"
"u10241",1,"A00001","B00001","C00075","D03615"
"u10241",2,"A00001","B00001","C00075","D03629"
"u10241",3,"A00001","B00001","C00075","D03630"
"u10241",4,"A00001","B00001","C00001","D03585"
"u10241",5,"A00001","B00001","C00001","D03587"
"u10241",6,"A00001","B00001","C00001","D03631"
"u10241",7,"A00001","B00001","C00001","D03588"
"u10241",8,"A00001","B00001","C00001","D01111"
"u10241",9,"A00001","B00001","C00001","D03632"
"u10242",1,"A00001","B00001","C00001","D03604"
"u10242",2,"A00001","B00001","C00075","D03612"
"u10243",1,"A00001","B00001","C00075","D03625"
"u10244",1,"A00001","B00001","C00075","D03615"
"u10244",2,"A00001","B00001","C00075","D03610"
"u10245",1,"A00001","B00001","C00075","D03625"
"u10245",2,"A00001","B00001","C00075","D03615"
"u10246",1,"A00001","B00001","C00019","D09102"
"u10246",2,"A00001","B00001","C00020","D09104"
"u10246",3,"A00001","B00001","C00075","D03611"
"u10246",4,"A00001","B00001","C00182","D04870"
"u10246",5,"A00001","B00001","C00075","D09108"
"u10246",6,"A00001","B00009","C00031","D09110"
"u10246",7,"A00001","B00001","C00075","D03628"
"u10246",8,"A00001","B00001","C00301","D09118"
"u10246",9,"A00001","B00001","C00301","D09120"
"u10247",1,"A00001","B00001","C00001","D09128"
"u10247",2,"A00001","B00001","C00019","D09129"
"u10247",3,"A00001","B00001","C00075","D03630"
"u10247",4,"A00001","B00001","C00301","D09120"
"u10248",1,"A00001","B00001","C00075","D03615"
"u10249",1,"A00001","B00001","C00075","D03609"
"u10249",2,"A00001","B00001","C00012","D09138"
"u10249",3,"A00001","B00001","C00075","D09139"
"u10249",4,"A00001","B00001","C00075","D03625"
"u10250",1,"A00001","B00001","C00075","D03615"
"u10251",1,"A00001","B00001","C00075","D03611"
"u10252",1,"A00001","B00001","C00075","D29328"
"u10252",2,"A00001","B00001","C00075","D03625"
"u10252",3,"A00001","B00001","C00301","D10570"
"u10253",1,"A00001","B00009","C00031","D29404"
"u10253",2,"A00001","B00009","C00031","D02617"
"u10253",3,"A00001","B00009","C00031","D29407"
"u10253",4,"A00001","B00009","C00031","D29410"
"u10253",5,"A00001","B00009","C00031","D29411"
"u10253",6,"A00001","B00009","C00031","D25444"
"u10253",7,"A00001","B00009","C00031","D29418"
"u10254",1,"A00001","B00009","C00028","D00089"
"u10254",2,"A00001","B00009","C00028","D00090"
"u10255",1,"A00001","B00009","C00031","D00095"
"u10256",1,"A00002","B00002","C00007","D03133"
"u10257",1,"A00001","B00009","C00032","D00105"
"u10257",2,"A00001","B00009","C00032","D01447"
"u10258",1,"A00002","B00003","C00006","D00107"
"u10258",2,"A00002","B00003","C00014","D00108"
"u10259",1,"A00002","B00003","C00006","D00110"
"u10260",1,"A00002","B00003","C00014","D01510"
"u10261",1,"A00002","B00001","C00224","D07271"
"u10261",2,"A00002","B00003","C00006","D00107"
"u10262",1,"A00002","B00002","C00004","D10289"
"u10262",2,"A00002","B00002","C00004","D10297"
"u10262",3,"A00002","B00003","C00006","D10323"
"u10263",1,"A00002","B00002","C00004","D10288"
"u10264",1,"A00002","B00002","C00004","D10438"
"u10265",1,"A00002","B00002","C00004","D10457"
"u10266",1,"A00002","B00002","C00003","D09940"
"u10266",2,"A00002","B00002","C00004","D10288"
"u10267",1,"A00002","B00002","C00007","D10873"
"u10267",2,"A00002","B00002","C00033","D10434"
"u10268",1,"A00002","B00003","C00074","D11063"
"u10269",1,"A00002","B00002","C00012","D11067"
"u10270",1,"A00002","B00002","C00004","D11380"
"u10271",1,"A00002","B00002","C00004","D12221"
"u10271",2,"A00002","B00002","C00004","D10297"
"u10271",3,"A00002","B00003","C00006","D10323"
"u10271",4,"A00002","B00002","C00007","D12222"
"u10272",1,"A00002","B00003","C00046","D12223"
"u10273",1,"A00002","B00002","C00003","D09940"
"u10273",2,"A00005","B00051","C00234","D12644"
"u10274",1,"A00002","B00002","C00003","D09940"
"u10275",1,"A00002","B00002","C00004","D10288"
"u10275",2,"A00002","B00003","C00014","D13177"
"u10276",1,"A00003","B00004","C00096","D04871"
"u10276",2,"A00002","B00004","C00244","D13339"
"u10276",3,"A00002","B00004","C00244","D13341"
"u10277",1,"A00002","B00002","C00004","D15939"
"u10278",1,"A00002","B00002","C00011","D16132"
"u10279",1,"A00002","B00002","C00003","D09940"
"u10280",1,"A00002","B00002","C00007","D17909"
"u10281",1,"A00002","B00002","C00004","D18067"
"u10282",1,"A00002","B00002","C00007","D15802"
"u10282",2,"A00002","B00002","C00003","D18181"
"u10282",3,"A00002","B00002","C00007","D18182"
"u10283",1,"A00002","B00002","C00004","D11380"
"u10284",1,"A00002","B00003","C00014","D09063"
"u10285",1,"A00002","B00002","C00004","D10297"
"u10286",1,"A00003","B00012","C00146","D20098"
"u10286",2,"A00002","B00002","C00022","D20102"
"u10287",1,"A00002","B00002","C00022","D20192"
"u10288",1,"A00002","B00002","C00007","D20656"
"u10288",2,"A00002","B00003","C00006","D18183"
"u10288",3,"A00002","B00002","C00004","D20657"
"u10289",1,"A00002","B00002","C00004","D15939"
"u10290",1,"A00002","B00003","C00006","D20795"
"u10291",1,"A00002","B00003","C00006","D21243"
"u10292",1,"A00002","B00006","C00030","D18399"
"u10293",1,"A00002","B00016","C00131","D22584"
"u10294",1,"A00002","B00002","C00022","D20192"
"u10295",1,"A00002","B00003","C00005","D24050"
"u10296",1,"A00002","B00002","C00007","D24052"
"u10297",1,"A00002","B00002","C00022","D20192"
"u10297",2,"A00002","B00003","C00006","D18078"
"u10297",3,"A00002","B00003","C00006","D19397"
"u10298",1,"A00002","B00004","C00008","D25249"
"u10299",1,"A00002","B00003","C00006","D26836"
"u10299",2,"A00002","B00003","C00014","D09563"
"u10300",1,"A00002","B00003","C00006","D26845"
"u10300",2,"A00002","B00001","C00075","D26846"
"u10300",3,"A00002","B00011","C00212","D26847"
"u10301",1,"A00002","B00003","C00006","D26938"
"u10301",2,"A00002","B00006","C00030","D26939"
"u10302",1,"A00002","B00003","C00006","D19397"
"u10302",2,"A00002","B00006","C00030","D26974"
"u10302",3,"A00002","B00006","C00030","D26975"
"u10302",4,"A00002","B00006","C00030","D26939"
"u10302",5,"A00002","B00002","C00007","D26977"
"u10303",1,"A00002","B00002","C00007","D26981"
"u10303",2,"A00002","B00002","C00022","D26986"
"u10304",1,"A00002","B00016","C00131","D27062"
"u10305",1,"A00002","B00002","C00022","D27260"
"u10306",1,"A00002","B00003","C00012","D27590"
"u10306",2,"A00002","B00002","C00007","D26977"
"u10307",1,"A00002","B00011","C00173","D27594"
"u10308",1,"A00002","B00003","C00005","D24050"
"u10309",1,"A00002","B00002","C00022","D20113"
"u10309",2,"A00002","B00002","C00022","D20192"
"u10310",1,"A00002","B00011","C00035","D29171"
"u10311",1,"A00002","B00011","C00126","D30101"
"u10311",2,"A00002","B00011","C00173","D27594"
"u10312",1,"A00002","B00003","C00014","D30208"
"u10313",1,"A00002","B00002","C00007","D30247"
"u10313",2,"A00002","B00016","C00131","D30254"
"u10314",1,"A00002","B00007","C00016","D29797"
